iter	Passed	Remaining
0	139	139756
1	141	70419
2	142	47276
3	143	35642
4	144	28680
5	145	24038
6	146	20734
7	147	18250
8	148	16317
9	149	14777
10	150	13503
11	151	12439
12	151	11539
13	152	10767
14	153	10098
15	154	9513
16	155	8995
17	156	8534
18	157	8121
19	158	7749
20	159	7413
21	159	7108
22	160	6829
23	161	6573
24	162	6338
25	163	6123
26	164	5929
27	165	5744
28	166	5570
29	167	5407
30	168	5256
31	169	5116
32	170	4983
33	170	4856
34	171	4737
35	172	4624
36	173	4517
37	174	4415
38	175	4320
39	176	4228
40	177	4141
41	177	4058
42	178	3982
43	179	3907
44	180	3835
45	181	3766
46	182	3700
47	183	3637
48	184	3577
49	185	3519
50	186	3463
51	187	3409
52	187	3358
53	188	3308
54	189	3259
55	190	3213
56	191	3168
57	192	3125
58	193	3083
59	194	3042
60	195	3003
61	196	2965
62	196	2928
63	197	2892
64	198	2857
65	199	2823
66	200	2790
67	201	2758
68	202	2727
69	203	2697
70	203	2667
71	204	2640
72	205	2613
73	206	2586
74	207	2560
75	208	2535
76	209	2510
77	210	2486
78	211	2462
79	212	2439
80	213	2416
81	213	2394
82	214	2368
83	215	2348
84	216	2327
85	217	2307
86	218	2288
87	218	2269
88	219	2250
89	220	2232
90	221	2213
91	222	2196
92	223	2178
93	224	2161
94	225	2144
95	225	2127
96	226	2112
97	227	2096
98	228	2080
99	229	2065
100	230	2051
101	231	2036
102	232	2024
103	233	2010
104	234	1997
105	235	1983
106	236	1970
107	236	1956
108	237	1943
109	238	1930
110	239	1918
111	240	1905
112	241	1893
113	242	1881
114	242	1869
115	243	1858
116	244	1845
117	245	1834
118	246	1822
119	247	1813
120	248	1803
121	248	1791
122	249	1782
123	250	1772
124	251	1761
125	252	1752
126	253	1741
127	254	1731
128	255	1722
129	255	1712
130	256	1703
131	257	1694
132	258	1685
133	259	1676
134	260	1667
135	261	1658
136	261	1649
137	262	1641
138	263	1633
139	264	1625
140	265	1616
141	265	1607
142	266	1599
143	267	1591
144	268	1584
145	269	1576
146	270	1569
147	271	1561
148	272	1554
149	273	1547
150	273	1540
151	274	1533
152	275	1526
153	276	1520
154	277	1514
155	278	1508
156	279	1502
157	280	1496
158	281	1490
159	282	1484
160	283	1476
161	284	1470
162	285	1464
163	286	1458
164	287	1452
165	288	1446
166	288	1441
167	289	1435
168	290	1430
169	291	1424
170	292	1418
171	293	1413
172	294	1408
173	295	1402
174	296	1398
175	297	1392
176	298	1387
177	299	1381
178	300	1376
179	301	1371
180	302	1366
181	302	1361
182	303	1356
183	304	1351
184	305	1346
185	306	1341
186	307	1336
187	308	1331
188	309	1326
189	310	1322
190	310	1317
191	311	1312
192	312	1307
193	313	1302
194	314	1297
195	315	1293
196	316	1288
197	316	1283
198	317	1279
199	318	1274
200	319	1270
201	320	1265
202	321	1261
203	322	1256
204	322	1252
205	323	1248
206	324	1243
207	325	1239
208	326	1235
209	327	1231
210	328	1227
211	329	1223
212	329	1219
213	330	1214
214	331	1210
215	332	1206
216	333	1202
217	334	1198
218	334	1194
219	335	1190
220	336	1186
221	337	1183
222	338	1179
223	339	1176
224	340	1173
225	341	1170
226	342	1166
227	343	1163
228	344	1160
229	345	1156
230	346	1153
231	347	1149
232	348	1145
233	348	1142
234	349	1138
235	350	1135
236	351	1131
237	352	1128
238	353	1124
239	354	1121
240	355	1118
241	355	1114
242	356	1111
243	357	1108
244	358	1105
245	359	1102
246	360	1098
247	361	1095
248	362	1092
249	362	1088
250	363	1085
251	364	1082
252	365	1079
253	366	1076
254	370	1080
255	370	1077
256	371	1074
257	372	1071
258	373	1068
259	374	1065
260	375	1062
261	376	1059
262	377	1056
263	378	1053
264	378	1050
265	379	1047
266	380	1044
267	381	1041
268	382	1039
269	383	1036
270	384	1033
271	384	1030
272	385	1026
273	386	1023
274	387	1020
275	387	1017
276	388	1014
277	389	1011
278	390	1008
279	390	1004
280	391	1001
281	392	998
282	393	995
283	393	992
284	394	989
285	395	986
286	396	983
287	396	980
288	397	977
289	398	974
290	398	971
291	399	968
292	400	965
293	401	963
294	401	960
295	402	957
296	403	955
297	404	952
298	404	949
299	405	946
300	406	944
301	407	941
302	408	938
303	408	936
304	409	933
305	410	931
306	411	928
307	411	925
308	412	922
309	413	920
310	414	917
311	414	915
312	415	912
313	416	910
314	417	907
315	418	904
316	418	902
317	419	899
318	420	897
319	421	894
320	421	892
321	422	889
322	423	886
323	423	884
324	424	881
325	425	879
326	426	877
327	426	874
328	427	871
329	428	869
330	428	866
331	429	864
332	430	861
333	431	859
334	431	857
335	432	854
336	433	852
337	434	850
338	435	848
339	436	846
340	437	844
341	438	843
342	439	841
343	440	839
344	440	837
345	441	835
346	442	833
347	443	831
348	444	829
349	446	828
350	446	826
351	447	824
352	448	822
353	449	821
354	450	819
355	451	817
356	452	815
357	453	813
358	454	811
359	455	809
360	456	808
361	457	806
362	458	804
363	459	803
364	460	801
